instance,variant,rows,cols,sigma_max,sigma_min,sigma_min_pos,kappa2,kappa2_pos,range_proxy,rank_deficient
coupling_S6_seed20250803,Base,43,38,1178729.6638860297,6.999741984054721e-19,0.005121098528817647,1.6839615896859532e+24,230171252.76013258,234258818.78590655,1
coupling_S6_seed20250803,FlatL2,43,38,2.4302332956322417,8.178524966825761e-17,0.003239385248940978,2.971481172326189e+16,750.2143489807935,13931.602361381532,1
coupling_S6_seed20250803,LocalGMCouplingL2,43,38,10.00058163380746,1.0073067776597227e-16,0.005534084908436638,9.92803965544819e+16,1807.088579100351,139322.9892408597,1
coupling_S6_seed20250803,SAMat,43,38,10.00058163380746,1.0073067776597227e-16,0.005534084908436638,9.92803965544819e+16,1807.088579100351,139322.9892408597,1
coupling_S6_seed20250803,SAPre,43,38,58.39893473182134,2.067401866947149e-16,0.00624314433569025,2.824750023954305e+17,9354.090117374273,14222.490691438177,1
coupling_S6_seed20250804,Base,43,38,5263754.703969566,1.011876910274201e-17,0.0060906032593272584,5.2019713569145286e+23,864241928.0731442,1004893982.0822976,1
coupling_S6_seed20250804,FlatL2,43,38,2.344399051084097,3.337695327119447e-17,0.0027054862829077805,7.0240055526799656e+16,866.5351829336954,19200.020511503466,1
coupling_S6_seed20250804,LocalGMCouplingL2,43,38,10.000536086803121,3.2163626966254623e-16,0.004722909560630777,3.1092687703707876e+16,2117.4523793903604,192009.80488530212,1
coupling_S6_seed20250804,SAMat,43,38,10.000536086803121,3.2163626966254623e-16,0.004722909560630777,3.1092687703707876e+16,2117.4523793903604,192009.80488530212,1
coupling_S6_seed20250804,SAPre,43,38,58.26423667284998,3.174591719580402e-16,0.005207941970380296,1.8353300776753424e+17,11187.574094377898,21644.433485644815,1
coupling_S6_seed20250805,Base,43,38,230314.93495559797,1.573081102600965e-19,1.4643178639912655e-05,1.4641008310047743e+24,15728479493.36851,4367294447119.4062,1
